reg;jour;n_dose1;n_cum_dose1
76;2021-01-18;7194;11584617572423301514594613238521559188284661318546647194
76;2021-01-19;10541;1158461757242330151459461323852155918828466131854664719410541
76;2021-01-20;12881;115846175724233015145946132385215591882846613185466471941054112881
76;2021-01-21;15399;11584617572423301514594613238521559188284661318546647194105411288115399
76;2021-01-22;11050;1158461757242330151459461323852155918828466131854664719410541128811539911050
76;2021-01-23;3797;11584617572423301514594613238521559188284661318546647194105411288115399110503797
76;2021-01-24;707;11584617572423301514594613238521559188284661318546647194105411288115399110503797707
76;2021-01-25;7485;115846175724233015145946132385215591882846613185466471941054112881153991105037977077485
76;2021-01-26;9188;1158461757242330151459461323852155918828466131854664719410541128811539911050379770774859188
76;2021-01-27;9586;11584617572423301514594613238521559188284661318546647194105411288115399110503797707748591889586
84;2020-12-28;6;6
84;2020-12-29;5;65
84;2020-12-30;5;655
84;2020-12-31;11;65511
84;2021-01-02;1;655111
84;2021-01-04;172;655111172
84;2021-01-05;422;655111172422
84;2021-01-06;1045;6551111724221045
84;2021-01-07;2543;65511117242210452543
84;2021-01-08;2779;655111172422104525432779
84;2021-01-09;465;655111172422104525432779465
84;2021-01-10;152;655111172422104525432779465152
84;2021-01-11;3796;6551111724221045254327794651523796
84;2021-01-12;5589;65511117242210452543277946515237965589
84;2021-01-13;6410;655111172422104525432779465152379655896410
84;2021-01-14;7966;6551111724221045254327794651523796558964107966
84;2021-01-15;6554;65511117242210452543277946515237965589641079666554
84;2021-01-16;2743;655111172422104525432779465152379655896410796665542743
84;2021-01-17;870;655111172422104525432779465152379655896410796665542743870
84;2021-01-18;8095;6551111724221045254327794651523796558964107966655427438708095
84;2021-01-19;13112;655111172422104525432779465152379655896410796665542743870809513112
84;2021-01-20;14074;65511117242210452543277946515237965589641079666554274387080951311214074
84;2021-01-21;12939;6551111724221045254327794651523796558964107966655427438708095131121407412939
84;2021-01-22;11061;655111172422104525432779465152379655896410796665542743870809513112140741293911061
84;2021-01-23;4616;6551111724221045254327794651523796558964107966655427438708095131121407412939110614616
84;2021-01-24;798;6551111724221045254327794651523796558964107966655427438708095131121407412939110614616798
84;2021-01-25;7683;65511117242210452543277946515237965589641079666554274387080951311214074129391106146167987683
84;2021-01-26;10464;6551111724221045254327794651523796558964107966655427438708095131121407412939110614616798768310464
84;2021-01-27;10403;655111172422104525432779465152379655896410796665542743870809513112140741293911061461679876831046410403
93;2020-12-31;19;19
93;2021-01-04;115;19115
93;2021-01-05;215;19115215
93;2021-01-06;356;19115215356
93;2021-01-07;1109;191152153561109
93;2021-01-08;1141;1911521535611091141
93;2021-01-09;234;1911521535611091141234
93;2021-01-10;2;19115215356110911412342
93;2021-01-11;1675;191152153561109114123421675
93;2021-01-12;4267;1911521535611091141234216754267
93;2021-01-13;3736;19115215356110911412342167542673736
93;2021-01-14;4261;191152153561109114123421675426737364261
93;2021-01-15;3599;1911521535611091141234216754267373642613599
93;2021-01-16;1151;19115215356110911412342167542673736426135991151
93;2021-01-17;96;1911521535611091141234216754267373642613599115196
93;2021-01-18;5278;19115215356110911412342167542673736426135991151965278
93;2021-01-19;11233;1911521535611091141234216754267373642613599115196527811233
93;2021-01-20;9573;19115215356110911412342167542673736426135991151965278112339573
93;2021-01-21;9945;191152153561109114123421675426737364261359911519652781123395739945
93;2021-01-22;8228;1911521535611091141234216754267373642613599115196527811233957399458228
93;2021-01-23;2446;19115215356110911412342167542673736426135991151965278112339573994582282446
93;2021-01-24;504;19115215356110911412342167542673736426135991151965278112339573994582282446504
93;2021-01-25;5928;191152153561109114123421675426737364261359911519652781123395739945822824465045928
93;2021-01-26;7892;1911521535611091141234216754267373642613599115196527811233957399458228244650459287892
93;2021-01-27;7597;19115215356110911412342167542673736426135991151965278112339573994582282446504592878927597
94;2021-01-04;2;2
94;2021-01-06;53;253
94;2021-01-07;326;253326
94;2021-01-08;280;253326280
94;2021-01-09;76;25332628076
94;2021-01-10;33;2533262807633
94;2021-01-11;123;2533262807633123
94;2021-01-12;196;2533262807633123196
94;2021-01-13;185;2533262807633123196185
94;2021-01-14;246;2533262807633123196185246
94;2021-01-15;359;2533262807633123196185246359
94;2021-01-16;195;2533262807633123196185246359195
94;2021-01-17;59;253326280763312319618524635919559
94;2021-01-18;460;253326280763312319618524635919559460
94;2021-01-19;882;253326280763312319618524635919559460882
94;2021-01-20;797;253326280763312319618524635919559460882797
94;2021-01-21;788;253326280763312319618524635919559460882797788
94;2021-01-22;701;253326280763312319618524635919559460882797788701
94;2021-01-23;241;253326280763312319618524635919559460882797788701241
94;2021-01-24;144;253326280763312319618524635919559460882797788701241144
94;2021-01-25;354;253326280763312319618524635919559460882797788701241144354
94;2021-01-26;771;253326280763312319618524635919559460882797788701241144354771
94;2021-01-27;615;253326280763312319618524635919559460882797788701241144354771615
