reg;jour;n_dose1;n_cum_dose1
84;2021-01-07;2543;4210
84;2021-01-08;2779;6989
84;2021-01-09;465;7454
84;2021-01-10;152;7606
84;2021-01-11;3796;11402
84;2021-01-12;5589;16991
84;2021-01-13;6410;23401
84;2021-01-14;7966;31367
84;2021-01-15;6554;37921
84;2021-01-16;2743;40664
84;2021-01-17;870;41534
84;2021-01-18;8095;49629
84;2021-01-19;13112;62741
84;2021-01-20;14074;76815
84;2021-01-21;12939;89754
84;2021-01-22;11061;100815
84;2021-01-23;4616;105431
84;2021-01-24;798;106229
84;2021-01-25;7683;113912
84;2021-01-26;10464;124376
84;2021-01-27;10403;134779
93;2020-12-31;19;19
93;2021-01-04;115;134
93;2021-01-05;215;349
93;2021-01-06;356;705
93;2021-01-07;1109;1814
93;2021-01-08;1141;2955
93;2021-01-09;234;3189
93;2021-01-10;2;3191
93;2021-01-11;1675;4866
93;2021-01-12;4267;9133
93;2021-01-13;3736;12869
93;2021-01-14;4261;17130
93;2021-01-15;3599;20729
93;2021-01-16;1151;21880
93;2021-01-17;96;21976
93;2021-01-18;5278;27254
93;2021-01-19;11233;38487
93;2021-01-20;9573;48060
93;2021-01-21;9945;58005
93;2021-01-22;8228;66233
93;2021-01-23;2446;68679
93;2021-01-24;504;69183
93;2021-01-25;5928;75111
93;2021-01-26;7892;83003
93;2021-01-27;7597;90600
94;2021-01-04;2;2
94;2021-01-06;53;55
94;2021-01-07;326;381
94;2021-01-08;280;661
94;2021-01-09;76;737
94;2021-01-10;33;770
94;2021-01-11;123;893
94;2021-01-12;196;1089
94;2021-01-13;185;1274
94;2021-01-14;246;1520
94;2021-01-15;359;1879
94;2021-01-16;195;2074
94;2021-01-17;59;2133
94;2021-01-18;460;2593
94;2021-01-19;882;3475
94;2021-01-20;797;4272
94;2021-01-21;788;5060
94;2021-01-22;701;5761
94;2021-01-23;241;6002
94;2021-01-24;144;6146
94;2021-01-25;354;6500
94;2021-01-26;771;7271
94;2021-01-27;615;7886
